Comuna;Cadena;Cantidad de locales;Reviews;Rating;
Independencia;Pizzapizza;1;1.006;4.1;
Cerrillos;Papa Jhon´s;1;10.000;4.6;
Cerrillos;Pizzapizza;1;455;4.2;
Cerrillos;Pizza hut;1;3.069;4.1;
Cerrillos;Lovdo;1;1.514;4.2;
San Bernardo;Papa Jhon´s;3;6.210;4.5;
San Bernardo;Pizza hut;2;857;4.2;
Colina;Papa Jhon´s;4;693;4.4;
Colina;Domino's Pizza;2;294;3.3;
Colina;Little Caesars;1;739;4.4;
Colina;Melt Pizza;1;759;4.5;
San Ramón;Telepizza;1;2.085;4.2;
La Granja;Telepizza;1;1.512;4.3;
Lampa;Papa Jhon´s;1;258;4.5;
Lampa;Little Caesars;1;792;4.5;
El Bosque;Papa Jhon´s;1;847;4.3;
El Bosque;Telepizza;4;73;4.5;
Melipilla;Papa Jhon´s;1;245;4.6;
Melipilla;Little Caesars;1;581;4.6;
Melipilla;Pizza hut;1;122;3.9;
Buin;Papa Jhon´s;2;87;4.6;
Buin;Domino's Pizza;1;9;3.4;
Buin;Melt Pizza;1;136;4.6;
Renca;Papa Jhon´s;2;33;3.7;
Peñaflor;Papa Jhon´s;1;276;4.6;
Padre Hurtado;Papa Jhon´s;1;265;4.3;
Cerro Navia;Telepizza;1;256;4.3;
La Pintana;Papa Jhon´s;1;104;4.5;
Talagante;Telepizza;1;90;4.7;
