Comuna;Cadena;Cantidad de locales;Total Reviews;Promedio Rating
San Bernardo;Papa Jhon´s;3;9.229;4.2
San Bernardo;Pizza hut;2;857;4.2
Colina;Papa Jhon´s;4;1448;3.4
Colina;Dominos Pizza;2;294;3.3
Colina;Little Caesars;1;739;4.4
Colina;Melt Pizza;1;759;4.5
San Ramón;Telepizza;1;2.085;4.2
La Granja;Telepizza;1;1.512;4.3
Lampa;Papa Jhon´s;1;258;4.5
Lampa;Little Caesars;1;792;4.5
El Bosque;Papa Jhon´s;1;847;4.3
El Bosque;Telepizza;4;73;4.5
Melipilla;Papa Jhon´s;1;245;4.6
Melipilla;Little Caesars;1;581;4.6
Melipilla;Pizza hut;1;122;3.9
Buin;Papa Jhon´s;2;155;4.6
Buin;Dominos Pizza;1;9;3.4
Buin;Melt Pizza;1;136;4.6
Renca;Papa Jhon´s;2;273;3.7
Peñaflor;Papa Jhon´s;1;276;4.6
Padre Hurtado;Papa Jhon´s;1;265;4.3
Cerro Navia;Telepizza;1;256;4.3
La Pintana;Papa Jhon´s;1;104;4.5
Talagante;Telepizza;1;90;4.7
